adhi-i / adhī 	(II  Ā)	adhīdhvam	imperative
adhi-i / adhī 	(II  Ā)	adhīṣva	imperative
adhi-i / adhī 	(II  Ā)	adhītām	imperative
adhi-i / adhī 	(II  Ā)	adhīta	past participle
adhi-i / adhī 	(II  Ā)	adhīte	indicative
adhi-i / adhī 	(II  Ā)	adhīyatām	imperative
adhi-i / adhī 	(II  Ā)	adhīyātām	imperative
adhi-i / adhī 	(II  Ā)	adhīyate	present passive
adhi-i / adhī 	(II  Ā)	adhīyāthām	imperative
adhi-i / adhī 	(II  Ā)	adhīyīta	optative
adhi-i / adhī 	(II  Ā)	adhyaiṣata	aorist
adhi-i / adhī 	(II  Ā)	adhyaiṣātām	aorist
adhi-i / adhī 	(II  Ā)	adhyaiṣṭa	aorist
adhi-i / adhī 	(II  Ā)	adhyaita	imperfect
adhi-i / adhī 	(II  Ā)	adhyaiyata	imperfect
adhi-i / adhī 	(II  Ā)	adhyaiyātām	imperfect
adhi-i / adhī 	(II  Ā)	adhyāpayati	causative indicative
adhi-i / adhī 	(II  Ā)	adhyayai	imperative
adhi-i / adhī 	(II  Ā)	adhyayāmahai	imperative
adhi-i / adhī 	(II  Ā)	adhyayāvahai	imperative
adhi-i / adhī 	(II  Ā)	adhyeṣyate	future
ad 	(II P)	ādaḥ	imperfect
ad 	(II P)	ādam	imperfect
ad 	(II P)	adāni	imperative
ad 	(II P)	ādan	imperfect
ad 	(II P)	adanīya	gerundive
ad 	(II P)	adanti	indicative
ad 	(II P)	adantu	imperative
ad 	(II P)	ādat	imperfect
ad 	(II P)	ādayati	causative indicative
ad 	(II P)	addhi	imperative
ad 	(II P)	admi	indicative
ad 	(II P)	adya	gerundive
ad 	(II P)	ādya	gerundive
ad 	(II P)	adyate	present passive
ad 	(II P)	adyāt	optative
ad 	(II P)	atsi	indicative
ad 	(II P)	atsyati	future
ad 	(II P)	attavya	gerundive
ad 	(II P)	atti	indicative
ad 	(II P)	attu	imperative
ad 	(II P)	attum	infinitive
ah		āha	perfect
ah		āhathuḥ	perfect
ah		āhatuḥ	perfect
ah		āhuḥ	perfect
ah		āttha	perfect
ākarṇay 	(Denom.)	ākarṇayati	indicative
ākarṇay 	(Denom.)	ākarṇayitum	infinitive
ākarṇay 	(Denom.)	ākarṇita	past participle
ākarṇay 	(Denom.)	ākarṇya	absolutive
ākulay 	(Denom.)	ākulayati	indicative
ākulay 	(Denom.)	ākulita	past participle
āliṅg 	(Denom.)	āliṅganīya	gerundive
āliṅg 	(Denom.)	āliṅgate	indicative
āliṅg 	(Denom.)	āliṅgati	indicative
āliṅg 	(Denom.)	āliṅgayati	causative indicative
āliṅg 	(Denom.)	āliṅgita	past participle
āliṅg 	(Denom.)	āliṅgitum	infinitive
āliṅg 	(Denom.)	āliṅgitvā	absolutive
āliṅg 	(Denom.)	āliṅgya	absolutive
añc 	(I PĀ)	añcati	indicative
añc 	(I PĀ)	añcayati	causative indicative
añc 	(I PĀ)	añcita	past participle
an 	(II  P)	ānaḥ	imperfect
an 	(II  P)	ānam	imperfect
an 	(II  P)	anāni	imperative
an 	(II  P)	ānat	imperfect
an 	(II  P)	ānayati	causative indicative
an 	(II  P)	anihi	imperative
an 	(II  P)	ānīḥ	imperfect
an 	(II  P)	aniti	indicative
an 	(II  P)	ānīt	imperfect
an 	(II  P)	anyāt	optative
añj 	(VII P)	ajyate	present passive
añj 	(VII P)	akta	past participle
añj 	(VII P)	ānak	imperfect
añj 	(VII P)	anakti	indicative
añj 	(VII P)	anaktu	imperative
añj 	(VII P)	°añjanīya	gerundive
añj 	(VII P)	añjayati	causative indicative
añj 	(VII P)	añjita	causative past participle
añj 	(VII P)	añjya	gerundive
añj 	(VII P)	añjyāt	optative
aṅk 	(X PĀ)	aṅkayate	indicative
aṅk 	(X PĀ)	aṅkayati	indicative
aṅk 	(X PĀ)	aṅkita	past participle
āp 	(V P)	āpanīya	gerundive
āp 	(V P)	āpa	perfect
āp 	(V P)	āpat	aorist
āp 	(V P)	āpayati	causative indicative
āp 	(V P)	āpayitavya	causative gerundive
āp 	(V P)	āpi	passive aorist
āp 	(V P)	āpnavāni	imperative
āp 	(V P)	āpnomi	indicative
āp 	(V P)	āpnoṣi	indicative
āp 	(V P)	āpnoti	indicative
āp 	(V P)	āpnot	imperfect
āp 	(V P)	āpnotu	imperative
āp 	(V P)	āpnudhve	indicative
āp 	(V P)	āpnuhi	imperative
āp 	(V P)	āpnumahe	indicative
āp 	(V P)	āpnumaḥ	indicative
āp 	(V P)	āpnuṣe	indicative
āp 	(V P)	āpnutaḥ	indicative
āp 	(V P)	āpnute	indicative
āp 	(V P)	āpnuthaḥ	indicative
āp 	(V P)	āpnutha	indicative
āp 	(V P)	āpnuvahe	indicative
āp 	(V P)	āpnuvaḥ	indicative
āp 	(V P)	āpnuvanti	indicative
āp 	(V P)	āpnuvate	indicative
āp 	(V P)	āpnuvāte	indicative
āp 	(V P)	āpnuvāthe	indicative
āp 	(V P)	āpnuve	indicative
āp 	(V P)	āpnuyāt	optative
āp 	(V P)	āpsyati	future
āp 	(V P)	āpta	past participle
āp 	(V P)	āptavya	gerundive
āp 	(V P)	āptum	infinitive
āp 	(V P)	āptvā	absolutive
āp 	(V P)	āpuḥ	perfect
āp 	(V P)	°āpya	absolutive
āp 	(V P)	āpya	gerundive
āp 	(V P)	āpyate	present passive
āp 	(V P)	īpsati	desiderative indicative
arc 	(I P)	ānarca	perfect
arc 	(I P)	ānarcuḥ	perfect
arc 	(I P)	arcanīya	gerundive
